ID,Headword,Etymology,WClass,Credits,DateOfCreation,DateOfUpdate
116,adiposo,"O dicionário Houaiss afirma tratar-se de derivação sufixal a partir de <i>ádipe</i> (gordura animal) com o acréscimo do sufixo <i>-oso</i>. No entanto, a forma latina <i>adiposus</i>, ainda que não esteja registrada nos dicionários de latim da Antiguidade, pode ser encontrada em textos em latim científico, como, por exemplo, na expressão “panniculus adiposus”, presente na “Acta Physico-Medica” de 1730 (https://www.google.com.br/books/edition/Acta_physico_medica_Academiae_caesareae/bYy3qY5Fgn8C). Dessa forma, o étimo da forma portuguesa pode ser o latim científico, e não uma formação vernacular, como propõe o dicionário Houaiss.",adjetivo,Fabiani de Amorim Gonçalves; Bruno Maroneze,4 May 2024,4 May 2024
98,angulado,"Duas são as possibilidades de descrição do étimo: 1 - <i>angulado</i> pode ter como étimo o latim <i>angŭlātus</i> (atestado na Antiguidade, conforme registrado nos dicionários de Gaffiot e Oxford Latin Dictionary), constituindo-se, dessa forma, como um decalque da língua latina; ou 2 - <i>angulado</i> pode ser analisado como derivado do substantivo <i>ângulo</i> com o sufixo -<i>ado</i>, visto que o substantivo <i>ângulo</i> teve, segundo o Dicionário Houaiss, sua primeira atestação no século XIV; portanto, no momento da elaboração do dicionário de Vandelli, há a possibilidade de o autor ter utilizado o recurso da própria língua portuguesa para introduzir a palavra na língua através do processo de derivação.",adjetivo,Kamila da Silva Barbosa; Bruno Maroneze,15 Sep 2023,13 Dec 2024
1,antera,"O étimo é o latim científico <i>anthera</i>, já atestado no século XVIII, como mostra o dicionário de Vandelli. Segundo o Dicionário Houaiss, o termo foi criado a partir do grego <i>antherós,á,ón</i>, que significa ""florido"".",substantivo feminino,Bruno Maroneze,28 Feb 2022,14 Jun 2022
88,árvore,"O étimo é o substantivo latino <i>arbor, oris</i> (com o mesmo significado de “planta de tronco alto e grosso”), pelo acusativo <i>arborem</i>, visto ser palavra herdada. É atestada desde a Idade Média e, a julgar pela data informada pelo dicionário Houaiss (984), é uma das palavras mais antigamente atestadas na língua portuguesa.",substantivo feminino,Adriane Maria de Oliveira Queiroz; Bruno Maroneze,18 Sep 2023,18 Sep 2023
66,aurícula,"O étimo é o latim <i>auricula</i>, diminutivo de <i>auris</i>, que na Antiguidade era empregado para se referir à orelha (conforme afirma o Oxford Latin Dictionary). É sabido que a forma <i>auricula</i> é também o étimo da forma herdada “orelha”; dessa forma, “orelha” e “aurícula” são, etimologicamente, formas <i>doublets</i>.<br>O emprego de “aurícula” para designar as cavidades superiores do coração (chamadas de “átrio” pela Medicina do século XXI) já ocorre no latim científico desde pelo menos o século XVII (como, por exemplo, em “Anatome Animalium” de Gerard Blasius, 1681 - https://www.google.com.br/books/edition/Gerardi_Blasii_Anatome_animalium_terrest/Bx1fAGulTCQC), mas em língua portuguesa o primeiro emprego parece mesmo ter sido na obra de Vandelli. Bernardo Santucci, na “Anatomia do Corpo Humano” (1739), à p. 125, fala em “orelhas do coraçaõ” em vez de “aurículas”. ",substantivo feminino,Ana Carolina Menegassi Rocha; Bruno Maroneze,27 Nov 2023,27 Nov 2023
70,bálano,"O étimo é o latim <i>balanus, i</i>, que se refere aos frutos de árvores como o carvalho ou outras castanhas. Em latim, a palavra tem origem no grego βάλανος, que, segundo o dicionário de Liddell, Scott e Jones, já apresentava, além da acepção de “fruto do carvalho”, também a de “cabeça do pênis”. Porém, os dicionários de latim Gaffiot e Oxford Latin Dictionary não apresentam essa acepção; talvez o latim não tenha conhecido essa acepção, ou talvez não tenha sido registrada em textos escritos. O emprego de <i>balanus</i> no latim científico não parece ter sido comum, visto que não foi possível encontrá-lo em obras médicas no Google Books. O próprio Santucci inclui <i>bálano</i> como um dos sinônimos de glande ou cabeça do membro masculino, mas prefere empregar o termo <i>glande</i>.",substantivo masculino,Marilizi Arruda Tarifa; Bruno Maroneze,07 Oct 2024,07 Oct 2024
2,bífido,"O étimo é certamente o latim <i>bifidus</i>, registrado no dicionário de Gaffiot e no Oxford Latin Dictionary com a acepção de “dividido em duas partes”. Trata-se de palavra erudita, visto que não sofreu as transformações fonéticas esperadas para uma palavra herdada. O emprego do termo latino <i>bifidus</i> na Zoologia e na Botânica data do século XVIII e é, provavelmente, o étimo mais imediato da palavra portuguesa. O dicionário Houaiss apresenta a datação de 1827, de uma obra com a sigla PL, mas que não consta nas fontes de datação apresentadas.",adjetivo,Bruno Maroneze,28 Feb 2022,14 Jan 2023
117,bile,"O étimo é o latim <i>bilis</i>, já atestado desde a Antiguidade com o sentido de ""fluido secretado pelo fígado"" (conforme mostra o Oxford Latin Dictionary). A conservação do -l- intervocálico e a data tardia de registro na língua portuguesa indicam tratar-se de palavra erudita, que certamente entrou na língua por meio do latim científico.",substantivo feminino,Fabiani de Amorim Gonçalves; Bruno Maroneze,7 May 2024,7 May 2024
80,Botânica,"O étimo é, certamente, o latim científico <i>Botanica</i>, já empregado com o sentido de ""ciência dos vegetais"" desde o século XVII (cf., por exemplo, a obra ""Institutio Philosophica..."", disponível em https://www.google.com.br/books/edition/Institutio_philosophica_ad_faciliorem_ve/fk4KQkeAgUsC, onde se lê, à p. 291, ""Botanica, seu plantarum scientia"").<br>O emprego em latim científico deriva da forma feminina do adjetivo grego βοτανικός (<i>botanikós</i>) ""relativo às ervas"", atestado desde a Antiguidade (conforme informa o dicionário de Liddell, Scott e Jones).",substantivo feminino,Raissa Silveira Buss; Bruno Maroneze,16 Feb 2023,14 Jun 2023
3,bráctea,"O étimo é o latim científico <i>bractea</i>, já com o sentido usual da Botânica. No latim da Antiguidade, conforme informa o dicionário de Gaffiot, a palavra designava ""folha de metal, de ouro"".",substantivo feminino,Bruno Maroneze,28 Feb 2022,14 Jun 2022
