Token,Ortografia,Lemma,InflForm
anthera,antera,antera,singular
antheras,anteras,antera,plural
anteras,anteras,antera,plural
anthéras,anteras,antera,plural
bifidos,bífidos,bífido,masculino plural
bifida,bífida,bífido,feminino singular
bifidas,bífidas,bífido,feminino plural
bractea,bráctea,bráctea,singular
bracteas,brácteas,bráctea,plural
bulbos,bulbos,bulbo,plural
bulbosos,bulbosos,bulboso,masculino plural
bulbosa,bulbosa,bulboso,feminino singular
bulbosas,bulbosas,bulboso,feminino plural
calice,cálice,cálice,singular
caliz,cálice,cálice,singular
calix,cálice,cálice,singular
calices,cálices,cálice,plural
calizes,cálices,cálice,plural
calyz,cálice,cálice,singular
calyces,cálices,cálice,plural
capreolo,capréolo,capréolo,singular
capreolos,capréolos,capréolo,plural
cartilagineo,cartilagíneo,cartilagíneo,masculino singular
cartilaginea,cartilagínea,cartilagíneo,feminino singular
cartilagineas,cartilagíneas,cartilagíneo,feminino plural
connivente,conivente,conivente,singular
conniventes,coniventes,conivente,plural
cotyledone,cotilédone,cotilédone,singular
cotyledon,cotilédone,cotilédone,singular
cotyledones,cotilédones,cotilédone,plural
cotylédones,cotilédones,cotilédone,plural
cotylédon,cotilédone,cotilédone,singular
cotylédone,cotilédone,cotilédone,singular
crenas,crenas,crena,plural
cuticula,cutícula,cutícula,singular
cuticulas,cutículas,cutícula,plural
deflexos,deflexos,deflexo,masculino plural
discos,discos,disco,plural
epiderme,epiderme,epiderme,singular
epidermi,epiderme,epiderme,singular
epidermis,epiderme,epiderme,singular
epidermide,epiderme,epiderme,singular
epidermes,epidermes,epiderme,plural
escamosos,escamosos,escamoso,masculino plural
escamosa,escamosa,escamoso,feminino singular
escamosas,escamosas,escamoso,feminino plural
estames,estames,estame,plural
estigmas,estigmas,estigma,plural
estipula,estípula,estípula,singular
estipulas,estípulas,estípula,plural
fibrosos,fibrosos,fibroso,masculino plural
fibrosa,fibrosa,fibroso,feminino singular
fibrosas,fibrosas,fibroso,feminino plural
filamentos,filamentos,filamento,plural
flosculo,flósculo,flósculo,masculino singular
flosculos,flósculos,flósculo,plural
foliaceo,foliáceo,foliáceo,masculino singular
foliacea,foliácea,foliáceo,feminino singular
foliaceas,foliáceas,foliáceo,feminino plural
fructificaçaõ,frutificação,frutificação,singular
fructificaçam,frutificação,frutificação,singular
fructificaçoẽs,frutificações,frutificação,plural
fructificaçoens,frutificações,frutificação,plural
frutificaçaõ,frutificação,frutificação,singular
frutificações,frutificações,frutificação,plural
gemma,gema,gema,singular
gemmas,gemas,gema,plural
gemas,gemas,gema,plural
gomos,gomos,gomo,plural
hermaphrodita,hermafrodita,hermafrodita,feminino singular
hermaphrodito,hermafrodito,hermafrodita,masculino singular
hermaphroditas,hermafroditas,hermafrodita,feminino plural
hermaphroditos,hermafroditos,hermafrodita,masculino plural
jardins botanicos,jardins botânicos,jardim botânico,plural
jardim botanico,jardim botânico,jardim botânico,singular
lacinia,lacínia,lacínia,singular
lacinias,lacínias,lacínia,plural
longitudinaes,longitudinais,longitudinal,plural
medullar,medular,medular,singular
medullares,medulares,medular,plural
membranaceo,membranáceo,membranáceo,masculino singular
membranacea,membranácea,membranáceo,feminino singular
membranaceos,membranáceos,membranáceo,masculino plural
membranaceas,membranáceas,membranáceo,feminino plural
oblonga,oblonga,oblongo,feminino singular
oblongos,oblongos,oblongo,masculino plural
oblongas,oblongas,oblongo,feminino plural
papilionaceo,papilionáceo,papilionáceo,masculino singular
papilionacea,papilionácea,papilionáceo,feminino singular
papilionaceas,papilionáceas,papilionáceo,feminino plural
parasitica,parasítica,parasítico,feminino singular
peciolo,pecíolo,pecíolo,singular
peciolos,pecíolos,pecíolo,plural
pedunculo,pedúnculo,pedúnculo,singular
pedunculos,pedúnculos,pedúnculo,plural
perenne,perene,perene,singular
pilosas,pilosas,piloso,feminino plural
pillosa,pilosa,piloso,feminino singular
pimpolhos,pimpolhos,pimpolho,plural
pistilos,pistilos,pistilo,plural
pistillo,pistilo,pistilo,singular
pistillos,pistilos,pistilo,plural
receptaculo,receptáculo,receptáculo,singular
receptaculos,receptáculos,receptáculo,plural
rhomboidal,romboidal,romboidal,singular
rhomboidaes,romboidais,romboidal,plural
sexual,sexual,sexual,singular
sexuaes,sexuais,sexual,plural
siliqua,síliqua,síliqua,singular
siliquas,síliquas,síliqua,plural
succoso,sucoso,sucoso,masculino singular
succosa,sucosa,sucoso,feminino singular
succosos,sucosos,sucoso,masculino plural
succosas,sucosas,sucoso,feminino plural
tunica,túnica,túnica,singular
villo,vilo,vilo,singular
villos,vilos,vilo,plural
verrucosa,verrucosa,verrucoso,feminino singular
verrucosos,verrucosos,verrucoso,masculino plural
verrucosas,verrucosas,verrucoso,feminino plural
rezina,resina,resina,singular
rezinoso,resinoso,resinoso,masculino singular
rezinosa,resinosa,resinoso,feminino singular
rezinosos,resinosos,resinoso,masculino plural
rezinosas,resinosa,resinoso,feminino plural
