data_publicacao,palavra_analisada,frequencia
1707,grande,658
1707,agua,645
1707,remedios,637
1707,remedio,564
1707,vezes,518
1707,dias,464
1707,doente,446
1707,dores,414
1707,onças,360
1707,causa,347
1707,medicos,344
1707,sangue,317
1707,dia,293
1707,muitas,292
1707,fazer,268
1707,cousa,267
1707,tempo,259
1707,humores,255
1707,curar,248
1707,febre,247
1707,doença,246
1707,parte,234
1707,dor,232
1707,outras,231
1707,tambem,226
1707,corpo,223
1707,estomago,222
1707,onça,219
1707,outra,217
1707,seguinte,209
1707,modo,208
1707,seis,207
1707,logo,205
1707,vida,201
1707,annos,197
1707,oleo,192
1707,avia,187
1707,oitavas,184
1707,saude,181
1707,oitava,180
1707,antes,179
1707,alguma,177
1707,medico,176
1707,doenças,175
1707,sangrias,175
1707,grandes,174
1707,partes,168
1707,cabeça,164
1707,diz,164
1707,virtude,164
1707,quanto,163
1707,doentes,162
1707,horas,162
1707,mandei,160
1707,ainda,159
1707,todo,159
1707,morte,155
1707,dar,151
1707,dentro,151
1707,folhas,149
1707,primeiro,149
1707,caso,141
1707,dito,141
1707,mulher,138
1707,fazem,135
1707,pilulas,135
1707,fe,133
1707,vinho,132
1707,quantidade,131
1707,tomar,131
1707,leite,130
1707,natureza,127
1707,sendo,127
1707,mayor,123
1707,lugar,122
1707,razaõ,122
1707,deos,121
1707,ventre,120
1707,enfermo,117
1707,eraõ,117
1707,mui,117
1707,fogo,116
1707,forte,116
1707,pò,116
1707,estando,113
1707,dita,112
1707,sorte,112
1707,faz,110
1707,cousas,108
1707,cura,106
1707,enfermidade,106
1707,falta,106
1707,feito,106
1707,fiz,106
1707,mãos,106
1707,perigo,106
1707,pouco,106
1707,tosse,106
1707,mesma,104
1707,homem,103
1707,podem,103
1707,vinte,103
1707,calor,102
1707,galeno,102
1707,quente,102
1707,observaçam,101
1707,boca,100
1707,dei,100
1707,necessario,100
1707,tomem,100
1707,arte,99
1707,experiencia,99
1707,vendo,99
1707,homens,97
1707,camaras,96
1707,finalmente,96
1707,humor,96
1707,mal,96
1707,menos,96
1707,pessoas,96
1707,qualidade,96
1707,ver,94
1707,grãos,93
1707,semelhantes,93
1707,cozimento,92
1707,alivio,91
1707,beber,91
1707,bom,91
1707,azougue,90
1707,atè,89
1707,meses,88
1707,figado,87
1707,hora,87
1707,primeira,87
1707,sangrar,87
1707,tanta,87
1707,procedem,86
1707,symptomas,86
1707,forças,85
1707,pedra,85
1707,podia,84
1707,cozida,83
1707,fóra,83
1707,meyo,83
1707,muita,83
1707,observaçaõ,83
1707,verdade,83
1707,casa,81
1707,segunda,81
1707,boa,79
1707,quero,79
1707,razão,79
1707,veas,79
1707,conselho,78
1707,enferma,78
1707,melhor,78
1707,caldo,76
1707,destes,76
1707,póde,76
1707,raiz,76
1707,queixas,75
1707,febres,74
1707,jejum,74
1707,maneira,74
1707,chamado,73
1707,maõ,73
1707,sobredito,73
1707,effeito,72
1707,ellas,72
1707,medicina,72
1707,nenhum,72
1707,oito,72
1707,seguintes,72
1707,comtudo,71
1707,quiz,71
1707,alternados,70
1707,dizer,70
1707,effeitos,70
1707,entendi,70
1707,foraõ,70
1707,ourina,70
1707,panela,70
1707,raizes,70
1707,ta,70
1707,veneno,70
1707,certo,69
1707,credito,69
1707,entaõ,69
1707,fez,69
1707,got,69
1707,jà,69
1707,ordenei,69
1707,quartilho,69
1707,banhos,68
1707,bofe,68
1707,hũa,68
1707,coraçaõ,67
1707,doze,67
1707,garganta,67
1707,cheya,66
1707,escropulos,66
1707,huns,66
1707,purga,66
1707,authores,65
1707,benedicta,65
1707,intestinos,65
1707,mundo,65
1707,deitar,64
1707,fluxo,64
1707,pòs,64
1707,tinhaõ,64
1707,xarope,64
1707,hippocrates,63
1707,sejaõ,63
1707,colica,62
1707,comer,62
1707,morador,62
1707,aperto,61
1707,conhecer,61
1707,procedia,61
1707,tomasse,61
1707,bexiga,60
1707,casos,60
1707,dizem,60
1707,materia,60
1707,olhos,60
1707,padecia,60
1707,ajudas,59
1707,contra,59
1707,dellas,59
1707,erva,59
1707,espiritos,59
1707,fontes,59
1707,procede,59
1707,sobredita,59
1707,vi,59
1707,barro,58
1707,cruezas,58
1707,segredo,58
1707,tomai,58
1707,vez,58
1707,efficazes,57
1707,embargo,57
1707,idade,57
1707,noite,57
1707,ourinas,57
1707,causas,56
1707,massa,56
1707,preparado,56
1707,usar,56
1707,aonde,55
1707,applicar,55
1707,dandolhe,55
1707,daqui,55
1707,devem,55
1707,entranhas,55
1707,erro,55
1707,procediaõ,55
1707,purgar,55
1707,trabalho,55
1707,visto,55
1707,assucar,54
1707,curei,54
1707,ficou,54
1707,natural,54
1707,quentura,54
1707,uso,54
1707,vinagre,54
1707,ancias,53
1707,doce,53
1707,modernos,53
1707,vemos,53
1707,vomitorios,53
1707,fim,52
1707,flatos,52
1707,mil,52
1707,quintilio,52
1707,donde,51
1707,enfermidades,51
1707,fizeraõ,51
1707,fol,51
1707,menino,51
1707,ouro,51
1707,peito,51
1707,saber,51
1707,tantos,51
1707,tirar,51
1707,acudir,50
1707,digo,50
1707,dizendo,50
1707,esperança,50
1707,lambedor,50
1707,misturado,50
1707,successo,50
1707,tantas,50
1707,dando,49
1707,disse,49
1707,excesso,49
1707,fastio,49
1707,fraqueza,49
1707,observei,49
1707,principalmente,49
1707,semente,49
1707,virtudes,49
1707,amendoas,48
1707,doces,48
1707,faça,48
1707,melhoria,48
1707,nova,48
1707,pès,48
1707,pós,48
1707,repetidas,48
1707,vomitos,48
1707,admiravel,47
1707,branco,47
1707,consta,47
1707,deve,47
1707,pode,47
1707,purgas,47
1707,sobreditas,47
1707,tendo,47
1707,tosses,47
1707,vencer,47
1707,aquelle,46
1707,conheci,46
1707,curiosos,46
1707,discurso,46
1707,estaõ,46
1707,fria,46
1707,madre,46
1707,medicamentos,46
1707,proveito,46
1707,quinze,46
1707,respiraçaõ,46
1707,rosado,46
1707,senhora,46
1707,sobreditos,46
1707,cuja,45
1707,lombrigas,45
1707,mim,45
1707,noites,45
1707,sahir,45
1707,sarou,45
1707,trinta,45
1707,aqui,44
1707,tam,44
1707,achei,43
1707,banho,43
1707,conforme,43
1707,dureza,43
1707,enfermos,43
1707,gallinha,43
1707,infusaõ,43
1707,segundo,43
1707,semelhante,43
1707,successivos,43
1707,unguento,43
1707,abrir,42
1707,colera,42
1707,efficaz,42
1707,escropulo,42
1707,fazia,42
1707,inchaçaõ,42
1707,morrer,42
1707,nome,42
1707,padeceo,42
1707,palavras,42
1707,acrimonia,41
1707,ar,41
1707,cap,41
1707,ditos,41
1707,hua,41
1707,nove,41
1707,obra,41
1707,observações,41
1707,polyanthea,41
1707,achaques,40
1707,aviaõ,40
1707,desde,40
1707,ditas,40
1707,frio,40
1707,gallica,40
1707,joaõ,40
1707,manoel,40
1707,medo,40
1707,mulheres,40
1707,quantas,40
1707,quantos,40
1707,senhor,40
1707,vista,40
1707,vomitar,40
1707,damno,39
1707,experiencias,39
1707,hoje,39
1707,hydropesia,39
1707,mayores,39
1707,nella,39
1707,onde,39
1707,principiantes,39
1707,queixa,39
1707,soros,39
1707,succede,39
1707,vapores,39
1707,vermelhas,39
1707,advertir,38
1707,almorreimas,38
1707,aquelles,38
1707,certa,38
1707,chamar,38
1707,commua,38
1707,contrario,38
1707,cordeal,38
1707,flores,38
1707,nervos,38
1707,ovos,38
1707,pedras,38
1707,quartilhos,38
1707,referir,38
1707,vigorada,38
1707,caldos,37
1707,conta,37
1707,fluxos,37
1707,matar,37
1707,nada,37
1707,paraque,37
1707,xaropes,37
1707,accidentes,36
1707,alimentos,36
1707,bebesse,36
1707,condiçaõ,36
1707,deixar,36
1707,differentes,36
1707,doutores,36
1707,francisco,36
1707,pleuriz,36
1707,rebeldes,36
1707,tomou,36
1707,vem,36
1707,ajuda,35
1707,aço,35
1707,canada,35
1707,costuma,35
1707,cujo,35
1707,deo,35
1707,feitas,35
1707,flor,35
1707,fonte,35
1707,livrei,35
1707,pareceo,35
1707,supposto,35
1707,via,35
1707,cor,34
1707,coral,34
1707,cozer,34
1707,entender,34
1707,enxofre,34
1707,excrementos,34
1707,frios,34
1707,nelle,34
1707,ovo,34
1707,passadas,34
1707,purgaçaõ,34
1707,vias,34
1707,àlem,34
1707,coza,33
1707,curas,33
1707,curaõ,33
1707,cursos,33
