palavra,frequencia_total
parte,1128
vezes,1005
grande,905
folha,819
agua,679
muitas,674
outras,656
remedios,645
partes,611
remedio,567
plantas,552
ainda,509
modo,505
dias,496
tempo,479
flores,471
doente,446
corpo,444
dores,425
outra,418
causa,417
fazer,398
quanto,381
tambem,375
mesma,372
especies,367
sangue,363
onças,363
medicos,362
estaõ,359
lugar,354
menos,353
sendo,351
nome,351
numero,350
segundo,346
cousa,340
sementes,339
maneira,334
pouco,333
dia,329
figura,328
base,317
todo,315
cabeça,306
diz,299
planta,298
primeiro,293
seis,286
superior,276
podem,271
annos,269
humores,267
meyo,264
razaõ,263
vegetaes,260
curar,260
flor,256
natureza,255
seguinte,254
osso,253
doença,252
especie,248
febre,247
dentro,246
tronco,246
vida,244
corolla,242
dar,241
ordinariamente,240
dor,239
pode,238
logo,236
inferior,234
grandes,233
estomago,233
natural,231
linneo,229
contudo,225
sorte,224
generos,223
raiz,222
onça,220
semente,217
chá,215
fazem,215
ellas,210
faz,209
devem,206
nam,202
ramos,201
oleo,200
differentes,199
dois,196
dito,196
lados,195
somente,195
ponta,195
doenças,195
cálice,194
semelhantes,193
saude,193
botanicos,192
avia,188
oitavas,188
virtude,187
medico,185
terra,184
folhas,182
margem,181
oitava,180
forma,179
parece,179
ventre,177
substancia,177
sangrias,176
horas,176
superficie,174
mayor,173
quantidade,172
doentes,172
huns,171
melhor,171
uso,170
ás,169
lado,168
dentes,168
morte,165
forte,165
maior,165
pequenas,164
chamado,164
fim,164
deve,164
commum,163
botanica,163
mandei,161
principalmente,161
pessoas,160
consta,159
estando,155
methodo,155
tomar,153
primeira,152
destes,150
eraõ,150
homem,149
vinho,149
falta,149
daõ,149
caso,146
dita,144
acaba,144
feito,142
estado,142
naturaes,141
calor,141
musculos,141
ossos,141
leite,141
comprimento,140
mulher,139
achaõ,137
diz-se,137
classes,136
pilulas,136
dellas,135
meio,135
cor,134
concha,134
pò,134
fe,134
fogo,134
homens,133
humor,132
genero,131
chamaõ,130
necessario,130
mui,130
experiencia,130
fóra,129
costumaõ,127
deos,127
foraõ,126
certo,125
tendo,125
vinte,124
nasce,124
dizer,124
effeito,124
quente,124
mal,123
onde,123
nomes,123
ver,122
arte,120
termos,120
maõ,120
raizes,119
verdade,119
caule,118
enfermo,118
servem,118
seguintes,118
saber,118
principio,118
desde,117
segunda,117
caracteres,116
ex,116
fez,116
qualidade,116
movimento,115
lugares,115
donde,115
fiz,114
finalmente,114
cousas,114
escamas,114
figado,114
termo,114
membrana,113
angulos,112
contrario,112
bom,111
systema,111
olhos,111
enfermidade,111
sejaõ,111
fibras,111
ordem,111
virtudes,111
árvore,111
senaõ,111
effeitos,111
serve,110
dedos,110
contem,110
mãos,110
cavidade,109
capitulo,108
materia,108
hoje,108
podia,108
boca,108
oito,107
galeno,107
boa,107
cura,106
grandeza,106
posterior,106
estames,106
perigo,106
tosse,106
medicina,106
acha,105
entaõ,105
vendo,104
dizem,104
fructificaçaõ,103
dei,103
externo,103
foliolos,102
extremidade,102
chama,102
observaçam,102
aonde,102
disso,101
atè,101
modernos,101
tomem,100
caracter,100
respeito,100
apice,100
serem,100
procedem,99
pedra,99
varias,99
aqui,99
coraçaõ,98
observaçaõ,98
igual,98
anterior,97
forças,97
hora,97
peito,97
grãos,97
veas,97
embargo,97
anno,96
nascem,96
semelhante,96
camaras,96
conhecer,96
animaes,95
disco,94
antera,94
ordens,93
alivio,92
bexiga,92
cozimento,92
doze,92
nenhum,92
vasos,92
germe,92
contra,91
verde,91
abertura,91
vem,91
azougue,91
vi,91
muita,91
beber,91
tanta,90
vemos,90
peciolo,90
póde,90
antigos,90
parecem,89
casca,89
músculo,89
sangrar,88
espaço,88
symptomas,88
meses,88
fructo,88
acima,87
cuja,87
tinhaõ,87
visto,86
fructos,86
iguaes,86
cima,86
casa,85
parecer,85
succede,85
cauda,85
debaixo,85
aquella,85
interior,85
intestinos,85
idade,84
posto,84
sido,84
angulo,84
formando,84
pequenos,84
geral,84
classe,83
chamada,83
baixo,83
cozida,83
espiritos,83
fontes,82
quero,82
alem,82
braço,82
mil,82
trabalho,81
aindaque,81
junto,81
conselho,81
vê,81
vej,80
razão,80
ar,80
simplez,80
enferma,80
authores,80
ponto,80
pericarpo,79
facilmente,79
proprio,79
està,79
costuma,79
pequeno,79
notas,78
causas,78
porquanto,78
nervos,78
queixas,78
petalas,78
vez,78
daqui,78
espinhos,77
usar,77
receptaculo,77
situaçaõ,77
nelle,77
habito,77
gomos,77
tirar,77
procede,77
nova,76
tegumentos,76
caldo,76
chamados,76
proporçaõ,76
familias,76
peixes,76
lacinias,76
varios,76
terem,75
chà,75
conforme,75
jejum,75
fica,75
sobredito,75
cujo,74
veneno,74
febres,74
infusaõ,74
nella,74
proprios,73
cheya,73
jà,73
alternados,73
linhas,73
formaõ,73
branco,73
ourina,72
ta,72
sam,72
tegumento,72
variedades,72
animal,72
comtudo,72
quiz,72
got,71
comer,71
pistillo,71
porisso,71
succos,71
conseguinte,70
garganta,70
panela,70
quartilho,70
entendi,70
mesmos,70
credito,70
assaz,69
aguda,69
pequena,69
ordenei,69
europa,69
ja,69
deo,69
pontas,69
dividido,69
direita,69
peixe,68
dr,68
banhos,68
pellos,68
hũa,68
mundo,68
dedo,68
menor,68
exemplos,68
vegetal,68
botanico,68
bofe,68
topo,67
purga,67
composta,67
dizendo,67
exterior,67
ideas,67
aquelles,67
barro,67
hippocrates,67
estructura,66
grosso,66
nove,66
fruto,66
fluxo,66
aquelle,66
doce,66
longitudinal,66
escropulos,66
deitar,65
agoa,65
tantos,65
paizes,65
assucar,65
disse,65
enfermidades,65
musculo,65
experiencias,65
terceiro,65
pedunculos,65
benedicta,65
certa,64
entranhas,64
xarope,64
mesmas,64
nenhuma,64
obra,64
tantas,64
dicto,64
pòs,64
igualmente,63
ficou,63
dez,63
observado,63
sobredita,63
ditos,62
massa,62
inteiramente,62
aperto,62
tam,62
poder,62
procedia,62
casos,62
morador,62
colica,62
abrir,62
fol,62
fizeraõ,61
nelles,61
largura,61
breve,61
cheiro,61
alimentos,61
ficaõ,61
tomasse,61
vaõ,61
deixa,61
novas,61
observa,60
deixar,60
ourinas,60
flosculos,60
comprido,60
padecia,60
larga,60
grossura,60
consiste,60
respiraçaõ,59
ajudas,59
china,59
interna,59
entender,59
segredo,59
ii,59
preparado,59
efficazes,59
externa,59
utilidade,59
erva,59
cruezas,58
medicamentos,58
cazo,58
pés,58
dizem-se,58
vista,58
intestino,58
tomai,58
sol,58
cap,57
linha,57
feitas,57
dorso,57
applicar,57
erro,57
passa,57
noite,57
feita,57
autores,57
