token,Headword,orth,gram,SenseNumber,sentence,author_surname,date,title,slug_obra,page_num
bile,bile,bile,,1,"Considera, Leitor, para melhor conhecimento desta verdade, quanto os modernos tem
          descuberto por meyo da Anatomia, e confessarás então, que estes reformáraõ as Theoricas, e
          mudáraõ em parte a Pratica. Estes dispuzeraõ a serie dos males, segundo a economia do
          corpo, seguindo a passagem do mantimento mudado em chylo, do chylo mudado em sangue, do
          sangue separado em diversas entranhas, da [[b]]bile[[/b]], do succo nerveo, e outros
          fluidos separados do sangue, expondo varias mutaçoens morbosas, que succedem nesta
          economia, e deduzindo destas à priori as indicaçoens, as quaes tem procurado satisfazer,
          propondo remedios conhecidos à priori, e posteriori.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 11
bile,bile,bile,,1,"Pois naõ he pouco o que tem descuberto os modernos por meyo da Anatomia, como a
          estructura do coraçaõ, e o seu uso, a circulaçaõ do sangue, o movimento da arteria, o uso das veas. A existencia dos vasos
          lymphaticos, o seu licor, a sua propagaçaõ, o seu termo, e a vea axillar, as veas lacteas,
          e o seu progresso, a estructura do figado com o seu novo uso, e movimento da
            [[b]]bile[[/b]], a estructura, e vasos das Parotidas com o seu uso. A existencia das
          glandulas do Paladar, e da Traca, a composiçaõ do cerebro, que necessariamente separa hum
          fluido, que se mete nos nervos. A estructura dos rins, as glandulas, que se chamaõ
          succenturiadas, a existencia das papillas da lingua para o gosto, a existencia das
          papillas cutaneas para o tacto. A estructura glandulosa do ventriculo, e suas ordens de
          fibras, a estructura das glandulas chamadas Conglobadas com o seu uso. A via do suor, e da
          transpiraçaõ, a geraçaõ dos óvos nos animaes viviperos. As tracas, e os bofes nos
          insectos, nas plantas, e nos animaes imperfeitos, a respiraçaõ nos viventes. A estructura
          dos bofes, e dos musculos, e muitas cousas, que se descubriraõ no orgaõ do ouvido, e da
          vista, e em outras partes do corpo humano: donde se vê quanto descobriraõ os modernos.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 12
bile,bile,bile,,1,"Se do figado diziaõ os antigos, que feita a alteraçaõ pela faculdade natural, mediante a
          propria carne, se gera o sangue para todo o corpo, do chylo introduzido pela vea Porta: e
          por quanto de qualquer decocçaõ, que se faz, sahem dous generos de excrementos, hum
          crasso, e outro tenue, por isso a [[b]]bile[[/b]], como excremento crasso, vay aos
          intestinos, e fica o soro com o sangue.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 13
bile,bile,bile,,1,"Segundo os modernos, o figado he huma glandula composta de quasi innumeraveis
          follesinhos, pela porosa estructura dos quaes a [[b]]bile[[/b]] se separa do sangue, que
          se introduz pela vea Porta, e arteria Celiaca. A bile he fermento util, e necessario, que se separa pelo proprio vaso, que he o póro Biliario, e
          vay para os intestinos tenues, e o seu uso he diminuir, e attenuar as particulas do chylo,
          e mudar a uniaõ das partes minimas do mesmo chylo, como se dirá no seu lugar.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 13
bile,bile,bile,,1,"Segundo os modernos, o figado he huma glandula composta de quasi innumeraveis
          follesinhos, pela porosa estructura dos quaes a [[b]]bile[[/b]] se separa do sangue, que
          se introduz pela vea Porta, e arteria Celiaca. A bile he fermento util, e necessario, que se separa pelo proprio vaso, que he o póro Biliario, e
          vay para os intestinos tenues, e o seu uso he diminuir, e attenuar as particulas do chylo,
          e mudar a uniaõ das partes minimas do mesmo chylo, como se dirá no seu lugar.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 13
Carpo,carpo,carpo,,1,"Collo da maõ, ou [[b]]Carpo[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 27
metacarpo,metacarpo,metacarpo,,1,"Costa da maõ, ou [[b]]metacarpo[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 27
musculo,músculo,músculo,,1,"Figura quarta, mostra hum [[b]]musculo[[/b]], e as suas partes.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 28
caruncula,carúncula,carúncula,,2,"Ductos pequeninos das glandulas, que apparecem aos lados da [[b]]caruncula[[/b]].",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 42
carunculas,carúncula,carúnculas,plural,3,"Figura terceira mostra hũ rim aberto pelo meyo, onde se vê as [[b]]carunculas[[/b]], e a pelvi.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 43
Carunculas,carúncula,Carúnculas,plural,3,"[[b]]Carunculas[[/b]],
          ou papillas dos rins.",SANTUCCI,1739,Anatomia do Corpo Humano,anatomiasantucci,não numerada 43
