token,Headword,orth,gram,SenseNumber,sentence,author_surname,date,title,page,slug_obra
Carpo,carpo,carpo,,1,"Collo da maõ, ou Carpo. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. não numerada 27)",SANTUCCI,1739,Anatomia do Corpo Humano,não numerada 27,anatomiasantucci
metacarpo,metacarpo,metacarpo,,1,"Costa da maõ, ou metacarpo. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. não numerada 27)",SANTUCCI,1739,Anatomia do Corpo Humano,não numerada 27,anatomiasantucci
musculo,músculo,músculo,,1,"Figura quarta, mostra hum musculo, e as suas partes. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. não numerada 28)",SANTUCCI,1739,Anatomia do Corpo Humano,não numerada 28,anatomiasantucci
musculos,músculo,músculos,plural,1,"Tambem os musculos, e as carnes se compoem das mesmas fibras nervosas, as quaes mais
              unidas entre si, e constipadas, constituem os tendoens dos musculos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 3)",SANTUCCI,1739,Anatomia do Corpo Humano,3,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Segundo a diversa tecedura, e entresamento das fibras, e a diversa natureza dos
              humores, e dos succos, que exteriormente circulaõ, ou que entraõ nas taes fibras,
              nasce a varia composição das partes; mas principalmente das fibrasinhas variamente
              dispostas, e unidas humas com outras, se fazem as membranas, as quaes ou se estendem,
              e se alargaõ para defensa das outras partes, ou se estreitaõ formando huns canaes, o
              vasos para a circulação dos humores, ou finalmente se fazem redondos, convertendo-se
              em folliculos, e glandulas
              para a separaçaõ dos mesmos humores. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 5)",SANTUCCI,1739,Anatomia do Corpo Humano,5,anatomiasantucci
musculos,músculo,músculos,plural,1,"Pelo que, todo o corpo do animal assim como remotamente se pode resolver em
              fibras pequeninas, se resolvem aproximadamente nas fibras mayores, que fazem mayor
              corpo, como saõ as que vemos nos musculos, e também se resolvem em membranas, vasos, e  glandulas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 6)",SANTUCCI,1739,Anatomia do Corpo Humano,6,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Pelo que, todo o corpo do animal assim como remotamente se pode resolver em
              fibras pequeninas, se resolvem aproximadamente nas fibras mayores, que fazem mayor
              corpo, como saõ as que vemos nos musculos, e também se resolvem em membranas, vasos, e  glandulas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 6)",SANTUCCI,1739,Anatomia do Corpo Humano,6,anatomiasantucci
diaphragma,diafragma,diafragma,,1,"O thorax he aquella cavidade entre as claviculas, e o diaphragma, que contèm o coraçaõ, os bofes, o mediastino, e parte do isophago, e aspera arteria com os seus vasos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 7)",SANTUCCI,1739,Anatomia do Corpo Humano,7,anatomiasantucci
isophago,esôfago,esôfago,,1,"O thorax he aquella cavidade entre as claviculas, e o diaphragma, que contèm o coraçaõ, os bofes, o mediastino, e parte do isophago, e aspera arteria com os seus vasos. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 7)",SANTUCCI,1739,Anatomia do Corpo Humano,7,anatomiasantucci
diaphragma,diafragma,diafragma,,1,"O abdomen he a cavidade, que principia desde o diaphragma até as partes pudendas,
              ou osso, que chamaõ pubes, e o osso a que chamaõ coccyx;
              comprehende o ventriculo, ou estomago, os intestinos, o figado, o baço, os rins, e
              outras partes. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 8)",SANTUCCI,1739,Anatomia do Corpo Humano,8,anatomiasantucci
coccyx,cóccix,cóccix,,1,"O abdomen he a cavidade, que principia desde o diaphragma até as partes pudendas,
              ou osso, que chamaõ pubes, e o osso a que chamaõ coccyx;
              comprehende o ventriculo, ou estomago, os intestinos, o figado, o baço, os rins, e
              outras partes. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 8)",SANTUCCI,1739,Anatomia do Corpo Humano,8,anatomiasantucci
occiput,ócciput,ócciput,,1,"A parte superior da cabeça he a molleira, ou
              synciput, a posterior, e inferior he o toutiço, ou occiput. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 8)",SANTUCCI,1739,Anatomia do Corpo Humano,8,anatomiasantucci
Hypogastrio,hipogástrio,Hipogástrio,,1,"A terceira, e inferior às outras, he a que
              chamaõ Hypogastrio. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 9)",SANTUCCI,1739,Anatomia do Corpo Humano,9,anatomiasantucci
Epigastrio,epigástrio,Epigástrio,,1,"As partes do  Epigastrio
              lateraes, e superiores, saõ os hypocondrios, ou vasios, hum da parte direita, e outro
              da parte esquerda. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 9)",SANTUCCI,1739,Anatomia do Corpo Humano,9,anatomiasantucci
Hypogastrio,hipogástrio,Hipogástrio,,1,"As partes lateraes superiores do Hypogastrio saõ os vasios, que em Latim chamaõ Ilia; e em Portuguez tambem
              ilhargas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 9)",SANTUCCI,1739,Anatomia do Corpo Humano,9,anatomiasantucci
carpo,carpo,carpo,,1,"Entre este, e a maõ està o collo da mão, ou munheca, a que tambem chamaõ
                carpo, a que se segue a parte da mão atè os dedos, que os Gregos chamaõ metacarpo, a sua parte interior se chama
              palma da maõ, a exterior, costa da maõ. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 9)",SANTUCCI,1739,Anatomia do Corpo Humano,9,anatomiasantucci
metacarpo,metacarpo,metacarpo,,1,"Entre este, e a maõ està o collo da mão, ou munheca, a que tambem chamaõ
                carpo, a que se segue a parte da mão atè os dedos, que os Gregos chamaõ metacarpo, a sua parte interior se chama
              palma da maõ, a exterior, costa da maõ. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 10)",SANTUCCI,1739,Anatomia do Corpo Humano,10,anatomiasantucci
Adiposa,adiposo,adiposo,feminino singular,1,"Tres saõ as partes, que servem de cubrir todo o corpo, a cuticula, a , ou pelle, e a membrana, que chamaõ Adiposa . (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 12)",SANTUCCI,1739,Anatomia do Corpo Humano,12,anatomiasantucci
musculos,músculo,músculos,plural,1,"A cute, ou pelle, naõ he outra cousa, senaõ huma membrana muy forte, feita, e come
              tecida de fibras brancas, as quaes (conforme o que diz Stenon) procedem dos tendoens
              dos musculos, que estaõ
              debaixo da mesma cute. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 13)",SANTUCCI,1739,Anatomia do Corpo Humano,13,anatomiasantucci
papillas,papila,papilas,feminino plural,1,"Sahem da mesma cute huns corpos pequeninos longos de substancia nervosa, e de
              figura pyramidal, a que Malpighio dà o nome de papillas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 13)",SANTUCCI,1739,Anatomia do Corpo Humano,13,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Debaixo da cute, quasi por todo o corpo, estaõ as  glandulas, que pela grandeza, e figura se
              chamaõ miliares, cheyas de nervos, e vasos de sangue, e com os seus canos, ou ductos
              excretorios, os quaes passando o corpo reticular, vem acabar na superficie exterior do
              mesmo corpo reticular. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 13)",SANTUCCI,1739,Anatomia do Corpo Humano,13,anatomiasantucci
glandulas,glândula,glândulas,plural,1,"Além destas glandulas,
              foraõ descubertas outras pelo dito Malpighio, Valsalva, e Morgagno, e estas se naõ
              apparecem em toda a cute, ao menos vem-se em certas partes da mesma cute, às quaes
              chamao sebaceas, por causa da materia, que separaõ, que parece sebo. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 13)",SANTUCCI,1739,Anatomia do Corpo Humano,13,anatomiasantucci
Lunula,lúnula,Lúnula,,1,"As unhas saõ laminas moderadamente
              duras, flexiveis, transparentes, mais brandas, e tenues junto à raiz, onde se vê huma
              porçaõ branca, que pela sua figura se chama Lunula: a parte anterior nao està pegada à outra cousa, a posterior està
              pegada à cuticula, donde nascem. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 13)",SANTUCCI,1739,Anatomia do Corpo Humano,13,anatomiasantucci
filamentos,filamento,filamento,plural,2,"Nenhuma outra cousa saõ as unhas, senaõ muitos canosinhos, dispostos com certa
              ordem, pelos quaes, como por humas bainhas, passaõ os filamentos das  papillas cutaneas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 15)",SANTUCCI,1739,Anatomia do Corpo Humano,15,anatomiasantucci
papillas,papila,papilas,feminino plural,1,"Nenhuma outra cousa saõ as unhas, senaõ muitos canosinhos, dispostos com certa
              ordem, pelos quaes, como por humas bainhas, passaõ os filamentos das  papillas cutaneas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 15)",SANTUCCI,1739,Anatomia do Corpo Humano,15,anatomiasantucci
scroto,escroto,escroto,,1,"Depois da cute se segue a membrana adiposa, que he a terceira cubertura de todo o
              corpo, exceptuando as capellas dos olhos, o membro viril, e a bolsa dos testiculos, ou
                scroto. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
musculos,músculo,músculos,plural,1,"Alèm destas tres cuberturas commuas, alguns querem, que hajaõ mais duas, que saõ
              o panniculo carnoso, e a membrana commua dos musculos (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
musculos,músculo,músculos,plural,1,"No homem, alèm do tecido dos musculos, na testa, ou fronte, se achaõ tambem humas fibras
              entremetidas na membrana adiposa, que concorrem para fazer as mesmas rugas, e nada
              mais se acha, que se possa comparar com o panniculo dos brutos, e contarse entre as
              cuberturas commuas. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
musculos,músculo,músculos,plural,1,"O mesmo se diz da membrana commua dos musculos, porque nenhuma outra cousa commua se observa no homem,
              tirando humas extensoens de certas fibras derivadas dos tendoens, as quaes parece, que
              abraçaõ muitos musculos, mas
              naõ todos, e por isso naõ se pode dizer, que he cubertura commua. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
musculos,músculo,músculos,plural,1,"O mesmo se diz da membrana commua dos musculos, porque nenhuma outra cousa commua se observa no homem,
              tirando humas extensoens de certas fibras derivadas dos tendoens, as quaes parece, que
              abraçaõ muitos musculos, mas
              naõ todos, e por isso naõ se pode dizer, que he cubertura commua. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
papillas,papila,papilas,feminino plural,1,"Porém na cute as partes, que parece se pòdem comparar com as mais para receber as
              impressoens dos objectos, saõ as papillas, nas quaes começaõ as taes impressoens em
              ordem à sensaçaõ, e pelos nervos continuados chegaõ a communicarse ao cerebro. (SANTUCCI, 1739, Anatomia do Corpo Humano, p. 16)",SANTUCCI,1739,Anatomia do Corpo Humano,16,anatomiasantucci
